timestamp_unix,timestamp_iso,system_cpu_pct,system_mem_used_mb,system_mem_available_mb,grid.py_pid,grid.py_cpu_pct,grid.py_rss_mb
1782664551.7244806,2026-06-28T16:35:51Z,1.2,554.3,3394.2,2434,0.0,15.0
1782664556.7250826,2026-06-28T16:35:56Z,1.2,552.5,3396.0,2434,0.0,15.0
1782664561.7258377,2026-06-28T16:36:01Z,1.2,551.7,3396.8,2434,0.0,15.0
1782664566.7265816,2026-06-28T16:36:06Z,1.3,552.4,3396.1,2434,0.0,15.0
1782664571.72731,2026-06-28T16:36:11Z,1.2,550.9,3397.5,2434,0.0,15.0
1782664576.728047,2026-06-28T16:36:16Z,1.3,549.6,3398.9,2434,0.0,15.0
1782664581.7287836,2026-06-28T16:36:21Z,1.0,549.9,3398.6,2434,0.0,15.0
1782664586.729532,2026-06-28T16:36:26Z,1.3,549.7,3398.7,2434,0.0,15.0
1782664591.7303188,2026-06-28T16:36:31Z,1.3,554.0,3394.4,2434,0.0,15.0
1782664596.7310638,2026-06-28T16:36:36Z,1.4,551.9,3396.5,2434,0.0,15.0
1782664601.7317092,2026-06-28T16:36:41Z,1.0,553.8,3394.6,2434,0.0,15.0
1782664606.7324727,2026-06-28T16:36:46Z,1.4,554.1,3394.2,2434,0.0,15.0
1782664611.7332077,2026-06-28T16:36:51Z,1.2,552.5,3395.8,2434,0.0,15.0
1782664616.733924,2026-06-28T16:36:56Z,1.4,551.3,3397.0,2434,0.0,15.0
1782664621.7346404,2026-06-28T16:37:01Z,1.0,550.5,3397.8,2434,0.0,15.0
1782664626.735371,2026-06-28T16:37:06Z,1.3,557.3,3391.0,2434,0.0,15.0
1782664631.7360747,2026-06-28T16:37:11Z,1.2,560.3,3388.0,2434,0.0,15.0
1782664636.736817,2026-06-28T16:37:16Z,1.2,554.7,3393.6,2434,0.0,15.0
1782664641.737556,2026-06-28T16:37:21Z,1.1,564.6,3383.7,2434,0.0,15.0
1782664646.7383184,2026-06-28T16:37:26Z,1.1,558.2,3390.1,2434,0.0,15.0
1782664651.739046,2026-06-28T16:37:31Z,1.3,555.9,3392.3,2434,0.2,15.0
1782664656.7397654,2026-06-28T16:37:36Z,1.2,553.7,3394.6,2434,0.0,15.0
1782664661.7405093,2026-06-28T16:37:41Z,1.4,551.8,3396.4,2434,0.0,15.0
1782664666.7411723,2026-06-28T16:37:46Z,1.1,550.4,3397.8,2434,0.0,15.0
1782664671.7429366,2026-06-28T16:37:51Z,1.2,550.5,3397.7,2434,0.0,15.0
1782664676.7436883,2026-06-28T16:37:56Z,1.3,550.2,3398.0,2434,0.0,15.0
1782664681.744421,2026-06-28T16:38:01Z,1.3,550.6,3397.6,2434,0.0,15.0
1782664686.745057,2026-06-28T16:38:06Z,1.0,556.9,3391.3,2434,0.0,15.0
1782664691.7457817,2026-06-28T16:38:11Z,1.3,559.7,3388.5,2434,0.0,15.0
1782664696.746541,2026-06-28T16:38:16Z,1.3,561.0,3387.2,2434,0.0,15.0
1782664701.7472727,2026-06-28T16:38:21Z,1.3,555.7,3392.4,2434,0.0,15.0
1782664706.7521024,2026-06-28T16:38:26Z,1.1,552.4,3395.7,2434,0.0,15.0
1782664711.756271,2026-06-28T16:38:31Z,1.3,551.5,3396.6,2434,0.0,15.0
1782664716.7570198,2026-06-28T16:38:36Z,1.4,550.3,3397.8,2434,0.0,15.0
1782664721.7577932,2026-06-28T16:38:41Z,1.2,550.4,3397.8,2434,0.0,15.0
1782664726.7586083,2026-06-28T16:38:46Z,1.3,549.4,3398.8,2434,0.2,15.0
1782664731.7593539,2026-06-28T16:38:51Z,1.1,555.0,3393.1,2434,0.0,15.0
1782664736.7600725,2026-06-28T16:38:56Z,1.3,558.8,3389.4,2434,0.0,15.0
1782664741.76082,2026-06-28T16:39:01Z,1.3,561.5,3386.6,2434,0.0,15.0
1782664746.76156,2026-06-28T16:39:06Z,1.2,557.2,3390.9,2434,0.0,15.0
1782664751.7621946,2026-06-28T16:39:11Z,1.0,553.9,3394.2,2434,0.0,15.0
1782664756.7629259,2026-06-28T16:39:16Z,1.2,551.5,3396.6,2434,0.0,15.0
1782664761.7636487,2026-06-28T16:39:21Z,1.2,551.9,3396.7,2434,0.2,15.0
1782664766.764378,2026-06-28T16:39:26Z,1.2,555.8,3392.7,2434,0.0,15.0
1782664771.7649927,2026-06-28T16:39:31Z,1.1,561.8,3386.7,2434,0.0,15.0
1782664776.7657027,2026-06-28T16:39:36Z,1.3,555.8,3392.7,2434,0.0,15.0
1782664781.7664416,2026-06-28T16:39:41Z,1.4,552.9,3395.6,2434,0.0,15.0
1782664786.7672076,2026-06-28T16:39:46Z,1.2,550.7,3397.8,2434,0.0,15.0
1782664791.767951,2026-06-28T16:39:51Z,1.1,554.8,3393.7,2434,0.0,15.0
1782664796.7687058,2026-06-28T16:39:56Z,1.2,552.0,3396.4,2434,0.0,15.0
1782664801.7694206,2026-06-28T16:40:01Z,1.3,551.8,3396.6,2434,0.0,15.0
1782664806.7701497,2026-06-28T16:40:06Z,1.3,551.1,3397.3,2434,0.0,15.0
1782664811.770858,2026-06-28T16:40:11Z,1.3,549.9,3398.5,2434,0.0,15.0
1782664816.77155,2026-06-28T16:40:16Z,1.0,549.5,3399.0,2434,0.0,15.0
1782664821.772286,2026-06-28T16:40:21Z,1.3,549.4,3399.1,2434,0.0,15.0
1782664826.7730367,2026-06-28T16:40:26Z,1.2,550.5,3398.0,2434,0.0,15.0
1782664831.7737846,2026-06-28T16:40:31Z,1.3,551.4,3397.0,2434,0.0,15.0
1782664836.7744732,2026-06-28T16:40:36Z,1.0,550.7,3397.7,2434,0.0,15.0
1782664841.7752066,2026-06-28T16:40:41Z,1.2,551.4,3397.0,2434,0.0,15.0
1782664846.775979,2026-06-28T16:40:46Z,1.3,550.0,3398.4,2434,0.0,15.0
1782664851.7767456,2026-06-28T16:40:51Z,1.2,550.2,3398.2,2434,0.0,15.0
1782664856.7774909,2026-06-28T16:40:56Z,1.1,550.5,3398.0,2434,0.0,15.0
1782664861.778256,2026-06-28T16:41:01Z,1.2,550.0,3398.5,2434,0.0,15.0
1782664866.7789779,2026-06-28T16:41:06Z,1.3,549.5,3398.9,2434,0.2,15.0
1782664871.7797108,2026-06-28T16:41:11Z,1.3,550.0,3398.4,2434,0.0,15.0
1782664876.7804332,2026-06-28T16:41:16Z,1.1,549.8,3398.7,2434,0.0,15.0
1782664881.7810576,2026-06-28T16:41:21Z,1.2,583.7,3364.8,2434,0.0,15.0
1782664886.781748,2026-06-28T16:41:26Z,2.1,567.5,3380.9,2434,0.0,15.0
1782664891.7823222,2026-06-28T16:41:31Z,1.2,562.5,3386.0,2434,0.0,15.0
1782664896.7830422,2026-06-28T16:41:36Z,1.3,556.5,3392.0,2434,0.0,15.0
1782664901.783773,2026-06-28T16:41:41Z,1.1,554.0,3394.5,2434,0.0,15.0
1782664906.7845078,2026-06-28T16:41:46Z,1.2,552.0,3396.6,2434,0.0,15.0
1782664911.78525,2026-06-28T16:41:51Z,1.3,550.5,3398.0,2434,0.0,15.0
1782664916.7895596,2026-06-28T16:41:56Z,1.4,550.2,3398.3,2434,0.0,15.0
1782664921.7903192,2026-06-28T16:42:01Z,1.2,550.2,3398.3,2434,0.0,15.0
1782664926.791019,2026-06-28T16:42:06Z,1.1,549.7,3398.8,2434,0.0,15.0
1782664931.7917492,2026-06-28T16:42:11Z,1.3,550.1,3398.4,2434,0.0,15.0
1782664936.7924762,2026-06-28T16:42:16Z,1.2,550.8,3397.7,2434,0.0,15.0
1782664941.7932434,2026-06-28T16:42:21Z,1.3,550.5,3398.0,2434,0.2,15.0
1782664946.7939699,2026-06-28T16:42:26Z,1.0,551.3,3397.2,2434,0.0,15.0
1782664951.7947037,2026-06-28T16:42:31Z,1.2,551.0,3397.5,2434,0.0,15.0
1782664956.7954261,2026-06-28T16:42:36Z,1.3,550.5,3398.0,2434,0.0,15.0
1782664961.7961693,2026-06-28T16:42:41Z,1.3,550.1,3398.4,2434,0.0,15.0
1782664966.7968576,2026-06-28T16:42:46Z,1.1,549.6,3398.8,2434,0.0,15.0
1782664971.8018217,2026-06-28T16:42:51Z,1.2,551.5,3397.0,2434,0.0,15.0
1782664976.8047857,2026-06-28T16:42:56Z,1.3,551.5,3396.9,2434,0.0,15.0
1782664981.8074048,2026-06-28T16:43:01Z,1.3,553.2,3395.2,2434,0.0,15.0
1782664986.8117445,2026-06-28T16:43:06Z,1.3,551.6,3396.8,2434,0.0,15.0
1782664991.8147614,2026-06-28T16:43:11Z,1.1,551.3,3397.0,2434,0.0,15.0
1782664996.8154883,2026-06-28T16:43:16Z,1.2,552.0,3396.3,2434,0.0,15.0
1782665001.8162255,2026-06-28T16:43:21Z,1.3,551.1,3397.2,2434,0.0,15.0
1782665006.8169606,2026-06-28T16:43:26Z,1.4,550.4,3397.9,2434,0.0,15.0
1782665011.8176274,2026-06-28T16:43:31Z,0.9,549.8,3398.5,2434,0.0,15.0
1782665016.8183777,2026-06-28T16:43:36Z,1.3,550.0,3398.2,2434,0.0,15.0
1782665021.8191106,2026-06-28T16:43:41Z,1.4,550.5,3397.8,2434,0.0,15.0
1782665026.819863,2026-06-28T16:43:46Z,1.2,550.0,3398.2,2434,0.0,15.0
1782665031.8205538,2026-06-28T16:43:51Z,1.1,549.6,3398.7,2434,0.2,15.0
1782665036.8213005,2026-06-28T16:43:56Z,1.3,554.1,3394.2,2434,0.0,15.0
1782665041.8220396,2026-06-28T16:44:01Z,1.2,555.0,3393.6,2434,0.0,15.0
1782665046.8238058,2026-06-28T16:44:06Z,1.2,553.8,3394.8,2434,0.0,15.0
1782665051.8245368,2026-06-28T16:44:11Z,1.3,553.0,3395.5,2434,0.0,15.0
1782665056.8252618,2026-06-28T16:44:16Z,1.1,551.6,3396.9,2434,0.0,15.0
1782665061.8259795,2026-06-28T16:44:21Z,1.3,550.7,3397.8,2434,0.0,15.0
1782665066.8267095,2026-06-28T16:44:26Z,1.4,550.3,3398.2,2434,0.0,15.0
1782665071.8274865,2026-06-28T16:44:31Z,1.3,549.5,3398.9,2434,0.0,15.0
1782665076.8282244,2026-06-28T16:44:36Z,1.1,549.8,3398.7,2434,0.0,15.0
1782665081.8289726,2026-06-28T16:44:41Z,1.4,554.3,3394.2,2434,0.0,15.0
1782665086.8297575,2026-06-28T16:44:46Z,1.3,556.4,3392.1,2434,0.0,15.0
1782665091.8305387,2026-06-28T16:44:51Z,1.4,559.8,3388.7,2434,0.0,15.0
1782665096.831291,2026-06-28T16:44:56Z,1.1,554.7,3393.7,2434,0.0,15.0
