timestamp_unix,timestamp_iso,cmd,setpoint_kw,latency_ms
1782665363.590,2026-06-28T17:49:23,HIGHER,0.00,455.690
1782665367.236,2026-06-28T17:49:27,LOWER,5.00,15.914
1782665371.371,2026-06-28T17:49:31,HIGHER,0.00,56.971
1782665375.479,2026-06-28T17:49:35,LOWER,5.00,68.255
1782665379.589,2026-06-28T17:49:39,HIGHER,0.00,89.298
1782665383.637,2026-06-28T17:49:43,LOWER,5.00,46.271
1782665387.767,2026-06-28T17:49:47,HIGHER,0.00,81.820
1782665391.894,2026-06-28T17:49:51,LOWER,5.00,112.718
1782665396.028,2026-06-28T17:49:56,HIGHER,0.00,162.142
1782665400.196,2026-06-28T17:50:00,LOWER,5.00,232.864
1782665404.248,2026-06-28T17:50:04,HIGHER,0.00,236.907
1782665408.400,2026-06-28T17:50:08,LOWER,5.00,293.065
1782665412.511,2026-06-28T17:50:12,LOWER,10.00,309.487
1782665416.231,2026-06-28T17:50:16,HIGHER,0.00,28.980
1782665420.388,2026-06-28T17:50:20,LOWER,5.00,89.001
1782665424.437,2026-06-28T17:50:24,HIGHER,0.00,38.177
1782665428.629,2026-06-28T17:50:28,LOWER,5.00,131.080
1782665432.724,2026-06-28T17:50:32,HIGHER,0.00,127.533
1782665436.817,2026-06-28T17:50:36,LOWER,5.00,125.288
1782665440.797,2026-06-28T17:50:40,LOWER,10.00,58.575
1782665444.900,2026-06-28T17:50:44,HIGHER,0.00,67.914
1782665449.744,2026-06-28T17:50:49,LOWER,5.00,814.065
1782665453.010,2026-06-28T17:50:53,HIGHER,0.00,89.875
1782665457.549,2026-06-28T17:50:57,LOWER,5.00,533.818
1782665461.158,2026-06-28T17:51:01,HIGHER,0.00,53.171
1782665465.308,2026-06-28T17:51:05,LOWER,5.00,109.437
1782665469.706,2026-06-28T17:51:09,HIGHER,0.00,419.013
1782665473.803,2026-06-28T17:51:13,LOWER,5.00,420.793
1782665477.753,2026-06-28T17:51:17,HIGHER,0.00,322.272
1782665481.831,2026-06-28T17:51:21,LOWER,5.00,307.394
1782665485.896,2026-06-28T17:51:25,HIGHER,0.00,276.745
1782665489.968,2026-06-28T17:51:29,LOWER,5.00,254.030
1782665494.017,2026-06-28T17:51:34,HIGHER,0.00,207.175
1782665498.044,2026-06-28T17:51:38,LOWER,5.00,139.248
1782665502.126,2026-06-28T17:51:42,HIGHER,0.00,129.117
1782665506.176,2026-06-28T17:51:46,LOWER,5.00,84.433
1782665510.276,2026-06-28T17:51:50,HIGHER,0.00,92.170
1782665514.327,2026-06-28T17:51:54,LOWER,5.00,51.527
1782665518.398,2026-06-28T17:51:58,HIGHER,0.00,76.480
1782665522.865,2026-06-28T17:52:02,LOWER,5.00,449.194
1782665526.515,2026-06-28T17:52:06,LOWER,10.00,7.981
1782665531.008,2026-06-28T17:52:11,HIGHER,0.00,405.323
1782665535.002,2026-06-28T17:52:15,LOWER,5.00,303.210
1782665539.113,2026-06-28T17:52:19,HIGHER,0.00,314.369
1782665543.128,2026-06-28T17:52:23,LOWER,5.00,231.224
1782665547.236,2026-06-28T17:52:27,HIGHER,0.00,247.082
1782665551.214,2026-06-28T17:52:31,LOWER,5.00,131.641
1782665555.310,2026-06-28T17:52:35,HIGHER,0.00,128.064
1782665559.395,2026-06-28T17:52:39,LOWER,5.00,167.651
1782665563.459,2026-06-28T17:52:43,HIGHER,0.00,138.598
1782665567.941,2026-06-28T17:52:47,LOWER,5.00,526.816
