timestamp_unix,timestamp_iso,direction,size_bytes,cumulative_rx_bytes,cumulative_tx_bytes
1782663756.518,2026-06-28T17:22:36,tx,41,12515,10096
1782663756.795,2026-06-28T17:22:36,rx,64,12579,10096
1782663757.075,2026-06-28T17:22:37,tx,41,12579,10137
1782663757.355,2026-06-28T17:22:37,rx,64,12643,10137
1782663757.603,2026-06-28T17:22:37,tx,41,12643,10178
1782663757.813,2026-06-28T17:22:37,rx,64,12707,10178
1782663758.019,2026-06-28T17:22:38,tx,41,12707,10219
1782663758.277,2026-06-28T17:22:38,rx,64,12771,10219
1782663758.546,2026-06-28T17:22:38,tx,41,12771,10260
1782663758.781,2026-06-28T17:22:38,rx,64,12835,10260
1782663759.012,2026-06-28T17:22:39,tx,41,12835,10301
1782663759.667,2026-06-28T17:22:39,rx,64,12899,10301
1782663759.935,2026-06-28T17:22:39,tx,41,12899,10342
1782663760.149,2026-06-28T17:22:40,rx,64,12963,10342
1782663760.371,2026-06-28T17:22:40,tx,41,12963,10383
1782663760.613,2026-06-28T17:22:40,rx,64,13027,10383
1782663760.870,2026-06-28T17:22:40,tx,41,13027,10424
1782663761.124,2026-06-28T17:22:41,rx,64,13091,10424
1782663761.365,2026-06-28T17:22:41,tx,41,13091,10465
1782663761.573,2026-06-28T17:22:41,rx,64,13155,10465
1782663762.213,2026-06-28T17:22:42,tx,41,13155,10506
1782663762.474,2026-06-28T17:22:42,rx,64,13219,10506
1782663762.703,2026-06-28T17:22:42,tx,41,13219,10547
1782663762.912,2026-06-28T17:22:42,rx,64,13283,10547
1782663763.152,2026-06-28T17:22:43,tx,41,13283,10588
1782663763.426,2026-06-28T17:22:43,rx,64,13347,10588
1782663763.674,2026-06-28T17:22:43,tx,41,13347,10629
1782663763.886,2026-06-28T17:22:43,rx,64,13411,10629
1782663764.100,2026-06-28T17:22:44,tx,41,13411,10670
1782663764.355,2026-06-28T17:22:44,rx,64,13475,10670
1782663764.608,2026-06-28T17:22:44,tx,41,13475,10711
1782663764.836,2026-06-28T17:22:44,rx,64,13539,10711
1782663765.043,2026-06-28T17:22:45,tx,41,13539,10752
1782663765.294,2026-06-28T17:22:45,rx,64,13603,10752
1782663765.549,2026-06-28T17:22:45,tx,41,13603,10793
1782663765.799,2026-06-28T17:22:45,rx,64,13667,10793
1782663766.019,2026-06-28T17:22:46,tx,41,13667,10834
1782663766.254,2026-06-28T17:22:46,rx,64,13731,10834
1782663766.502,2026-06-28T17:22:46,tx,41,13731,10875
1782663766.752,2026-06-28T17:22:46,rx,64,13795,10875
1782663766.967,2026-06-28T17:22:46,tx,41,13795,10916
1782663767.177,2026-06-28T17:22:47,rx,64,13859,10916
1782663767.427,2026-06-28T17:22:47,tx,41,13859,10957
1782663767.677,2026-06-28T17:22:47,rx,64,13923,10957
1782663767.940,2026-06-28T17:22:47,tx,41,13923,10998
1782663768.174,2026-06-28T17:22:48,rx,64,13987,10998
1782663768.376,2026-06-28T17:22:48,tx,41,13987,11039
1782663768.629,2026-06-28T17:22:48,rx,64,14051,11039
1782663768.890,2026-06-28T17:22:48,tx,41,14051,11080
1782663769.121,2026-06-28T17:22:49,rx,64,14115,11080
1782663769.349,2026-06-28T17:22:49,tx,41,14115,11121
1782663770.005,2026-06-28T17:22:50,rx,64,14179,11121
1782663770.275,2026-06-28T17:22:50,tx,41,14179,11162
1782663770.520,2026-06-28T17:22:50,rx,64,14243,11162
1782663770.744,2026-06-28T17:22:50,tx,41,14243,11203
1782663770.958,2026-06-28T17:22:50,rx,64,14307,11203
