cycle,soh_pct,throughput_kwh,efc,energy_in_kwh,energy_out_kwh,peak_temp_c,end_temp_c
705,80.5884,32029.103,194.1158,40.712,0.0,27.5,27.43
706,80.5638,32069.803,194.3624,40.699,0.0,27.5,27.42
707,80.5391,32110.489,194.609,40.687,0.0,27.5,27.42
708,80.5144,32151.164,194.8555,40.674,0.0,27.5,27.41
709,80.4898,32191.826,195.102,40.662,0.0,27.5,27.4
710,80.4652,32232.475,195.3483,40.649,0.0,27.5,27.39
711,80.4405,32273.112,195.5946,40.637,0.0,27.5,27.39
712,80.4159,32313.736,195.8408,40.625,0.0,27.5,27.38
713,80.3913,32354.349,196.087,40.612,0.0,27.5,27.37
714,80.3667,32394.948,196.333,40.6,0.0,27.5,27.37
715,80.3421,32435.535,196.579,40.587,0.0,27.5,27.36
716,80.3175,32476.11,196.8249,40.575,0.0,27.5,27.35
717,80.2929,32516.673,197.0707,40.562,0.0,27.5,27.35
718,80.2683,32557.223,197.3165,40.55,0.0,27.5,27.34
719,80.2438,32597.76,197.5622,40.538,0.0,27.5,27.33
720,80.2192,32638.285,197.8078,40.525,0.0,27.5,27.32
721,80.1947,32678.798,198.0533,40.513,0.0,27.5,27.32
722,80.1701,32719.298,198.2988,40.5,0.0,27.5,27.31
723,80.1456,32759.786,198.5442,40.488,0.0,27.5,27.3
724,80.1211,32800.262,198.7895,40.476,0.0,27.5,27.3
725,80.0965,32840.725,199.0347,40.463,0.0,27.5,27.29
726,80.072,32881.176,199.2799,40.451,0.0,27.5,27.28
727,80.0475,32921.614,199.5249,40.438,0.0,27.5,27.27
728,80.023,32962.031,199.7699,40.417,0.0,27.5,27.5
729,79.9985,33002.445,200.0148,40.414,0.0,27.5,27.5
